cutoff_year,concept_i_ite_donor,concept_j_tg_anchor,i_type,j_type,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,semantic_similarity,cross_type,ite_lead_years_for_u,u_seen_in_ite,u_seen_in_tg,v_seen_in_tg,future_TG_edge_label,future_example_title,future_window,ml_score,graph_adoption_score,hybrid_adoption_score
2022,phase-transition entropy amplification,Fe2+/Fe3+ solvation redox chemistry,phase_or_species_transition,redox_chemistry,22,16,13,13,12,7,8,3.0686125375514424,352,2,0.05094355179227586,1,13,1,1,1,1,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,2023-2026,0.9510024203658469,1.7642638036809815,0.9984662576687117
2022,dynamic crosslinked gel network,ferri/ferrocyanide redox chemistry,gel_microstructure,redox_chemistry,13,25,2,25,12,9,10,3.64637335591354,325,2,0.0,1,3,1,1,1,1,Boosting Gel-Based Thermogalvanic Energy Harvesting via Metal Oxide Nanostructured Electrodes,2023-2026,0.9283045874973829,1.6892638036809815,0.9877300613496933
2022,phase-transition entropy amplification,cellulose nanofiber scaffold,phase_or_species_transition,gel_microstructure,22,14,13,4,12,12,8,2.8541134988381422,308,2,0.0,1,13,1,1,1,1,Wearable Device with High Thermoelectric Performance and Long-Lasting Usability Based on Gel-Thermocells for Body Heat Harvesting,2023-2026,0.9541456084431679,1.6673312883435583,0.9861963190184049
2022,phase-transition entropy amplification,chaotropic polymer-water disruption,phase_or_species_transition,gel_microstructure,22,10,13,9,12,7,8,2.733051070732655,220,2,0.04667931830923018,1,13,1,1,1,1,Anhydrous Thermogalvanic Gel for Simultaneous Waste Heat Recovery and Thermal Management of Electronics,2023-2026,0.9306282224263207,1.6823619631901838,0.9846625766871165
2022,cellulose nanofiber scaffold,ferri/ferrocyanide redox chemistry,gel_microstructure,redox_chemistry,14,25,4,25,12,9,7,2.38101806285795,350,2,0.0,1,1,1,1,1,1,Robust and flexible bacterial cellulose-based thermogalvanic cells for low-grade heat harvesting in extreme environments,2023-2026,0.9425046449889856,1.6608895705521471,0.9723926380368099
2022,anti-freezing organohydrogel design,iodide/triiodide redox chemistry,gel_microstructure,redox_chemistry,18,18,8,14,13,6,8,2.7992987968268968,324,2,0.0,1,9,1,1,1,1,Edible temperature-responsive-adhesive thermogalvanic hydrogel for self-powered multi-sited fatigue monitoring,2023-2026,0.9281598901487238,1.6670245398773005,0.9723926380368098
2022,anti-freezing organohydrogel design,Fe2+/Fe3+ solvation redox chemistry,gel_microstructure,redox_chemistry,18,16,8,13,13,7,7,2.5208983246728414,288,2,0.0,1,9,1,1,1,1,A rapidly moldable thermogalvanic organohydrogel for self-powered water temperature and level monitoring,2023-2026,0.9494794391063225,1.639723926380368,0.9647239263803682
2022,ion-pair complexation control,anti-freezing organohydrogel design,solvation_entropy,gel_microstructure,16,18,8,8,11,13,8,2.7999905411695423,288,2,0.0,1,5,1,1,1,1,Edible temperature-responsive-adhesive thermogalvanic hydrogel for self-powered multi-sited fatigue monitoring,2023-2026,0.9035592766191543,1.6538343558282207,0.9585889570552146
2022,anti-freezing organohydrogel design,cellulose nanofiber scaffold,gel_microstructure,gel_microstructure,18,14,8,4,13,12,6,2.1352954267888484,252,2,0.008145269928015515,0,9,1,1,1,1,Robust and flexible bacterial cellulose-based thermogalvanic cells for low-grade heat harvesting in extreme environments,2023-2026,0.9199158602882669,1.6320552147239262,0.9478527607361964
2022,moisture-gradient ion transport,ferri/ferrocyanide redox chemistry,transport_mechanism,redox_chemistry,11,25,3,25,11,9,6,1.976833011196056,275,2,0.007466929187115887,1,4,1,1,1,1,Self-powered thermogalvanic cells based on layered double hydroxides cross-linking hydrogel: Enhanced thermoelectric performance and mechanical stretchability for IoT wearable electronics,2023-2026,0.8826102544313843,1.628680981595092,0.9371165644171779
