文章名,期刊名,DOI,年份,摘要,材料,机制
Unlocking new possibilities in ionic thermoelectric materials: a machine learning perspective,NATIONAL SCIENCE REVIEW,10.1093/nsr/nwae411,2025,"The high thermopower of ionic thermoelectric (i-TE) materials holds promise for miniaturized waste-heat recovery devices and thermal sensors. However, progress is hampered by laborious trial-and-error experimentations, which lack theoretical underpinning. Herein, by introducing the simplified molecular-input line-entry system, we have addressed the challenge posed by the inconsistency of i-TE material types, and present a machine learning model that evaluates the Seebeck coefficient with an R2 of 0.98 on the test dataset. Using this tool, we experimentally identify a waterborne polyurethane/potassium iodide ionogel with a Seebeck coefficient of 41.39 mV/K. Furthermore, interpretable analysis reveals that the number of rotatable bonds and the octanol-water partition coefficient of ions negatively affect Seebeck coefficients, which is corroborated by molecular dynamics simulations. This machine learning-assisted framework represents a pioneering effort in the i-TE field, offering significant promise for accelerating the discovery and development of high-performance i-TE materials. This work uses machine learning to predict the Seebeck coefficients of ionic thermoelectric materials, offering a faster path to discovering high-performance materials for efficient energy conversion.",waterborne polyurethane/potassium iodide ionogel,SMILES-based machine learning predicts ionic Seebeck coefficient; ion rotatable-bond number and octanol-water partition coefficient negatively affect the Seebeck coefficient
Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,ENERGY & ENVIRONMENTAL SCIENCE,10.1039/d4ee04247f,2025,"Gel thermocell, as a green and clean energy conversion technology, has a high ionic thermopower, and it is capable of functioning for self-powered sensors near room temperature. However, ionic thermoelectric performance is currently limited and needs to be improved to meet the practical requirements. To date, it has been a major challenge to significantly improve performance, including ionic thermopower, output power density, and energy harvesting. Herein, we propose a high-entropy concept by controlling the gel compositions to achieve remarkable ionic thermoelectric performance. The high-entropy results from multi-ion coupling, especially for anions, to improve redox reaction entropy change, exchange current density, and ionic conductivity, pushing the performance to high levels. The fabricated high-entropy gel thermocell showed an ionic thermopower of 31 mV K-1, a normalized maximum output power density of 11.4 mW m-2 K-2, and a one-hour continuous discharge energy density of 4.3 J m-2 K-2. Moreover, a device assembled by twelve thermocells delivered a maximum output power density of 2.0 mW m-2 K-2. Thus, the strategy proposed in this work provides guidelines for designing other high-performance gels.",high-entropy gel thermocell with multi-ion gel composition,"multi-ion coupling, especially anion coupling, increases redox reaction entropy change, exchange current density, and ionic conductivity"
Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,ADVANCED MATERIALS,10.1002/adma.202510199,2025,"Ionic thermoelectric (i-TE) materials show promise for flexible energy harvesting and self-powered sensing due to their high ionic Seebeck coefficients (S i). However, achieving both high thermoelectric performance and mechanical stretchability, especially in n-type systems, remains a critical challenge. Herein, a poly(vinyl alcohol) (PVA)-based n-type i-TE hydrogel is presented that exhibits both large negative S i (-38.6 mV K-1) and excellent stretchability (382.5%) through synergistic effect of coordination and hydrophobic interactions. Leveraging the amphiphilic nature of PVA, its hydrophilic hydroxyl groups form coordination bonds with Cu2+ ions from copper chloride (CuCl2), while its hydrophobic backbone interacts with water-soluble conjugated polymer (poly(3-(3 '-N,N,N-triethylammonium-1 '-propy-loxy)-4-methyl-2,5-thiophene chloride (PMNT). Meanwhile, hydrophobic associations also occur among PMNT chains due to strong pi-pi stacking and backbone hydrophobicity. This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower. Besides, the long-range hydrophobic interactions contribute to the overall mechanical robustness. The developed hydrogels are successfully implemented in self-powered temperature sensors and low-grade heat harvesting systems, such as powering a cooling fan by utilizing the waste heat from a working tablet. This work offers an alternative pathway toward developing high-performance i-TE materials for wearable electronics and low-grade heat harvesting applications.","PVA/CuCl2/PMNT n-type ionic thermoelectric hydrogel; PMNT = poly(3-(3'-N,N,N-triethylammonium-1'-propyloxy)-4-methyl-2,5-thiophene chloride)","PVA hydroxyl groups coordinate with Cu2+; PVA and PMNT form hydrophobic associations and pi-pi stacking, enhancing thermophoretic difference between chloride anions and cations"
Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,ADVANCED ENERGY MATERIALS,10.1002/aenm.202405502,2025,"Ionic thermoelectric materials have emerged as a promising avenue for harvesting low-grade waste heat, with significant potential for applications in wearable electronics. This study introduces a novel design for ionic thermoelectric capacitors (ITECs) by incorporating host-guest complexation between alpha-cyclodextrin (alpha-CD) and triiodide ions (I3-). The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels. Accordingly, the optimized sample achieves an impressive positive ionic thermopower of 14.24 mV K-1 and a high ionic power factor of 477.2 mu W K-2 m-1. Furthermore, the stretchable ITEC demonstrates a substantial power density of 5.9 mW m-2. When integrated into a 3-leg device, a stable thermovoltage of 176 mV is generated under a temperature gradient of 4.4 K, thus highlighting the potential of this system for efficient thermal energy harvesting.",PVA/alpha-cyclodextrin/NaI hydrogel containing triiodide ions,host-guest complexation between alpha-CD and I3- confines I3- diffusion inside alpha-CD cavities and increases mobility difference between I3- and sodium ions
A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2025.161288,2025,"Ionic thermoelectric generators (i-TEGs), capable of generating several tens of millivolts per Kelvin, have emerged as a promising technology for powering mu W or mW-level electric devices by recovering low-grade heat energy. However, the development of n-type i-TE materials still fall behind. In this work, a n-type i-TEG with both high thermopower and energy density was achieved by balancing thermodiffusion effect and thermogalvanic effect in the hydrogel with the Fe2+/3+ redox couple. It's found that the thermopower generated by the hydrogels show a significant dependence on Fe2+/3+ concentration due to the complexation interaction between Fe2+/3+and Cl- species. On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device. Consequently, the device based on gel Gel-Fe24 exhibits a balanced and high VOC and ISC, delivering a maximum Pmax/(Delta T)2 of 2.78 mW m-2 K-2 at Delta T = 10 K. In i-TE generator mode, the i-TEG with gel Gel-Fe24 can output a maximum energy density of 456J m-2 within the 1-hour discharging, and exhibit relatively good cyclic stability. A thermoelectric module consisting of seven thermoelectric cells in series was demonstrated to output a thermovoltage of -2.75 V and an instantaneous power of 0.278 mW, capable of continuously powering low-power electronic devices. This study illustrates the impact of Fe2+/3+ concentration on the thermopower and output performance of the i-TEG, providing an optimization route for the preparation of high-performance n-type ionic thermoelectric devices.",n-type ionic thermoelectric hydrogel with Fe2+/Fe3+ redox couple; Gel-Fe24,Fe2+/Fe3+ concentration modulates thermodiffusion and thermogalvanic effects; Fe2+/Fe3+ complexation with Cl- affects thermopower and electron transfer resistance
Long-Term Serviceable Ionic Thermoelectric Hydrogel with Temperature and Moisture Dual-Driven Waste Energy Harvesting Capability,SMALL,10.1002/smll.202501960,2025,"Despite the substantial progress in developing high-performance quasi-solid hydrogels based on ionic thermophoretic migration, ionic thermoelectric materials (i-TEs) show unsatisfactory long-lasting stability caused by ionic migration failures and de-electrolytes. In this work, by enriching oxygen-containing functional groups in the gel network and constructing oriented ionic transport nanochannels, an innovative approach is presented to reach long-term service and reusability for i-TEs without sacrificing their TE properties. The as-prepared hydrogel with thermopower of 17.0 +/- 1.0 mV K-1 stables at 82% of its original performance when immersed in the electrolyte. Notably, even after being air-dried for 135 days, its thermopower returns to 87% of the original value through replenishing electrolyte solution and its 3D shape fully recovers. Meanwhile, the dual-driven nature for moisture and temperature as well as the pH sensitivity of this network is systematically investigated. The maximum output voltage of a single sample reaches 0.215 V at a Delta T of 3.7 K, and it works continuously for more than 26 h. This study offers a new approach to overcoming the short-term service bottleneck of i-TEs and provides a practical scheme for the multi-source drive of self-powered TE equipment.",ionic thermoelectric hydrogel with oxygen-containing functional groups and oriented ionic transport nanochannels,"oxygen-containing functional groups and oriented ionic transport nanochannels maintain ionic transport, enable electrolyte replenishment after drying, and support long-term thermopower recovery"
Phase transition driven tough hydrogel ionic thermoelectric cell with giant thermopower,NATURE COMMUNICATIONS,10.1038/s41467-025-64054-1,2025,"The application of quasi-solid ionic thermoelectric (i-TE) cells holds great potential for powering ubiquitous wearable electronics without the need for cables or batteries. However, their practical application is restricted by low thermopower. Herein, a temperature-responsive supramolecular hydrogel, P(N-acryloylsemicarbazide-co-acrylic acid) (PNA), has been developed as a i-TE cell that integrates good mechanical and electrochemical properties. The volume phase transition (VPT) of PNA i-TE cell can generate a substantial ion entropy difference, thereby enhancing both the redox reaction efficiency and ionic thermodiffusion rate. A single PNA i-TE cell can generate a thermopower of 2.04 volts with a temperature difference of 50 K. The Seebeck coefficient (Se), specific output power density (Pmax/(Delta T)2\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$${P}_{\max }/{(\Delta T)}<^>{2}$$\end{document}) and figure of merit (ZT) of PNA i-TE cell can reach up to 40.9 mV K-1, 35.2 mW m-2 K-2 and 1.33 respectively. This ionic hydrogel is promising for the design of high performance polymer based i-TE cells in an environmentally friendly and cost-effective manner.",temperature-responsive supramolecular P(N-acryloylsemicarbazide-co-acrylic acid) (PNA) hydrogel,volume phase transition generates ion entropy difference and enhances redox reaction efficiency and ionic thermodiffusion rate
Wearable Solar Ionic Thermoelectric Detectors for Human Motion Monitoring and Language Recognition Conversion,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.202422592,2025,"Flexible self-powered sensors with the significant ability to the information perception, decoding, and conveying processes have attracted tremendous attention in healthcare monitoring, motion detection, and intelligent interaction. Also, the solar thermoelectric technology holding the effective solar energy/heat harvesting capacity for sustainable electricity generation shows attractive prospects in self-powered wearable sensing but is terribly limited by its poor flexibility and complex construction. Herein, a solar thermoelectric system, prepared via facilely sandwiching the self-assemble MoS2/Carbon hollow nanoflower-based fabrics with [Fe(CN)6]3-/4- thermoelectric gels, is successfully applied for the self-powered wearable sensing. Owing to the hollow-heterostructure for the strong light absorption, MoS2/Carbon hollow nanoflower-based fabrics demonstrated a photothermal conversion efficiency of 39.6%. The strong heat concentration can supply a considered temperature gradient of 42.7 K for thermoelectric gels with a Seebeck coefficient of 1.08 mV K-1 under a solar intensity of 1 sun, outputting a voltage density of 101.2 V m-2 with a response of 431 ms. Their promising application in self-powered wearable fields, such as noncontact motion monitoring and language interaction is foreseen.",self-assembled MoS2/carbon hollow nanoflower fabric with [Fe(CN)6]3-/4- thermoelectric gel,"MoS2/carbon hollow heterostructure gives strong light absorption and photothermal conversion, creating a temperature gradient that drives thermoelectric gel voltage output"
Self-healing and stretchable tetrameric PVA-CNF-PVP-IL complex ionogel with high-performance ionic thermoelectric properties,JOURNAL OF MATERIALS CHEMISTRY A,10.1039/d5ta00744e,2025,"Self-healing and stretchable thermoelectric (TE) materials are crucial for the advancement of self-powered flexible wearable devices. Despite recent progress in the field, there remains a gap in developing materials that effectively combine self-healing capabilities with superior thermoelectric performance. In this study, we present a novel water-assisted self-healing, stretchable tetrameric complex ionogel, which integrates polyvinyl alcohol (PVA), cellulose nanofibers (CNF), and polyvinyl pyrrolidone (PVP) to form a dynamic network structure. The innovative approach involves establishing reversible hydrogen bonds within the ionogel and utilizing PVA crystalline segments as nanofillers. We further incorporate the ionic liquid 1-ethyl-3-methylimidazolium dicyanamide salt (EMIM:DCA) into the network, resulting in PVA-CNF-PVP-IL thermoelectric ionogels. The prepared ionogels exhibit remarkable mechanical properties, achieving a tensile strength of 560 kPa and an elongation at break of 587.02%. They also demonstrate impressive thermoelectric characteristics, with an ionic Seebeck coefficient of 8.997 mV K-1 and a conductivity of 36.09 mS cm-1 at 80% relative humidity. Furthermore, the ionogels exhibit excellent elastic tensile and self-healing properties, even after multiple cut/heal and stretch/release cycles, due to abundant noncovalent interactions, including hydrogen bonding and ion-dipole interactions. Importantly, the ionogels hold potential for use in ionic thermoelectric capacitors (ITEC), advancing the development of high-performance, self-healing, and flexible TE devices tailored for wearable applications.",PVA/CNF/PVP/EMIM:DCA complex ionogel; CNF = cellulose nanofibers; PVP = polyvinyl pyrrolidone; EMIM:DCA = 1-ethyl-3-methylimidazolium dicyanamide,"reversible hydrogen bonds, PVA crystalline segments, hydrogen bonding, ion-dipole interactions, and other noncovalent interactions form a dynamic self-healing stretchable network"
Advanced N-Type Ionic Thermoelectric Cells Featuring Bidirectional Cationic Anchoring Strategy and REDOX Electrode,ADVANCED ENERGY MATERIALS,10.1002/aenm.202500584,2025,"The design of high-performance n-type ionic thermoelectric cells (i-TE cells) tailored for harvesting low-grade thermal energy presents significant challenges. In this study, an n-type i-TE cell exhibiting substantial negative thermopower and a high output energy density is developed by leveraging the synergistic interplay between thermal diffusion within an ionic hydrogel electrolyte and redox reactions at the electrode interface. Specifically, a gel network featuring dual positive groups is synthesized by cross-linking quaternized chitosan and guanidine molecules via glutaraldehyde, with thermal diffusion further enhanced by incorporating crown ether for complexation. Additionally, NiCo(CO3)(OH)(2), a material known for its high hydrophilicity, is utilized as the anode to facilitate rapid ion and electron transfer at the electrode interface. The integration of optimized thermal diffusion within polycationic electrolytes with electrode interface-enhanced ion/electron transport mechanisms significantly improves the sustained output performance and thermoelectric conversion efficiency of the i-TE cell. Notably, the thermopower (Seebeck coefficient) of this n-type i-TE cell achieves a value of -26.04 mV K-1, and its 2 h output energy density reached 1301.61 J m(-2) under a temperature difference (Delta T) of 15 K. These findings offer a novel design paradigm for high-performance n-type i-TE cell.","n-type ionic hydrogel electrolyte from quaternized chitosan and guanidine cross-linked by glutaraldehyde, with crown ether and NiCo(CO3)(OH)2 anode",dual positive groups provide bidirectional cationic anchoring; crown ether complexation enhances thermal diffusion; hydrophilic NiCo(CO3)(OH)2 electrode facilitates interfacial ion and electron transfer
Insight into the ionic thermoelectric effect and electrochemical energy storage of Portland cement,CONSTRUCTION AND BUILDING MATERIALS,10.1016/j.conbuildmat.2025.144173,2025,"The porous structure of Portland cement enables free ion diffusion. This study thoroughly explores its ionic thermoelectric properties, electrochemical energy storage performance, and the underlying mechanisms. When the pore solution contains high concentrations of OH- ions, these ions migrate toward the colder region under temperature gradients, imparting the cement-based material n-type thermoelectric behavior. As ion leaching time increases, the material changes from n-type to p-type. Optimization of pore structure in cement-based composites significantly enhances their ionic thermoelectric performance, with the engineered material demonstrating a Seebeck coefficient of 1.57 mV K- 1 and a power factor of 0.525 mu W m-1 K-2, both of which are higher than those of previously reported cementitious materials. Moreover, the interconnected porous structure provides sufficient super-macropores and highways for ion storage and transportation. The solid-state symmetric cement-based supercapacitor shows high energy density of 32.9 mu Wh cm- 2 and areal capacitance of 237.5 mF cm- 2, which can realize stable energy supply for thermal hygrometer. Modifying the pore structure of cement leads to a dual enhancement in its ionic thermoelectric performance and electrochemical energy storage. This work overcomes the conventional limitation of single structural functionality in building materials, providing a universal blueprint for developing net-zero energy building systems.",Portland cement/cement-based material with pore solution containing OH- ions,"OH- ions migrate toward the colder region under a temperature gradient, giving n-type behavior; ion leaching changes the material from n-type to p-type; optimized pore structure improves ion transport and storage"
High-performance ionic thermoelectric hydrogels via electrohydrodynamic printing for self-powered wearable sensors,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,10.1016/j.colsurfa.2025.138182,2025,"Ionic thermoelectric hydrogels (i-TEHs) hold great promise for low-grade thermal energy harvesting and self-powered sensing, but their applications are limited by the trade-off between ionic conductivity and the Seebeck coefficient. A method combining electrohydrodynamic (EHD) printing technology and cyclic freeze-thaw processes was proposed to fabricate a polyvinyl alcohol/sodium carboxymethyl cellulose/sodium bis(trifluoromethylsulfonyl) imide (PVA/CMC-Na/NaTFSI) i-TEH for self-powered wearable sensors. I-TEH was constructed with an interpenetrating network of PVA and CMC-Na, using NaTFSI as the mobile ions to promote thermal diffusion. Ions in i-TEHs were uniformly distributed by EHD printing process, resulting in an ionic conductivity of 34.27 mS cm(-1), which is a 53.5 % increase compared to the traditional methods. The synergistic effect between ordered ions and Manning counterion condensation effect induced by the electronegative CMC-Na chain improves the selective ion migration capability of i-TEHs, achieving a high Seebeck coefficient of 14.39 mV K-1 (reference temperature of 25-40 degrees C, temperature difference of 10-15 K), which is a 24.6 % increase compared to the traditional method. The i-TEH-based self-powered sensor exhibits a gauge factor of 2.09 within the strain range of 150-200 % and fast response/recovery time (102/129 ms). The i-THE-based self-powered flexible sensor can effectively monitor human movements and handwriting recognition. The synergistic effect of ordered ion arrangement induced by EHD printing and Manning counterion condensation effect provides a feasible strategy for improving the TE performance of i-TEHs, which opens up a new approach for the preparation of self-powered flexible wearable electronic devices based on human body thermal energy.",PVA/CMC-Na/NaTFSI ionic thermoelectric hydrogel fabricated by electrohydrodynamic printing and freeze-thaw processing,"EHD printing produces ordered ion distribution; electronegative CMC-Na induces Manning counterion condensation, improving selective ion migration and Seebeck coefficient"
Pressure-enhanced thermopower of ionic thermoelectric gelatin for identifying materials with different thermal conductivities,NANO ENERGY,10.1016/j.nanoen.2025.111156,2025,"As the human body's most vital environmental interface, the skin integrates diverse sensory receptors enabling simultaneous perception of multiple stimuli through multisensory processing. However, the realization of multifunctional sensing system on robots or prosthetics remains a huge challenge. Here we report a multifunctional tactile sensor fabricated from ionic thermoelectric gelatin that achieves simultaneous pressure and temperature detection. The thermoelectric effect of this ionic thermoelectric gelatin is mainly achieved through the synergy of the thermodiffusion effects and the thermogalvanic effect of ions. In addition, by applying pressure, the thermoelectric effect of this ionic thermoelectric gelatin can be changed (the thermopower of the ionic thermoelectric gelatin increases from 1.21 mV/K to 1.67 mV/K, representing a 38 % increase), so as to enable the sensor to sense external forces. By comparing the thermoelectric effect driven by temperature difference and the thermoelectric effect driven by pressure-temperature difference, there is a difference in the voltage response time. This allows for the decoupling of signals at the backend with only a simple algorithm. Using this sensor, we achieved a 95.31 % accuracy rate in identifying different materials. The multifunctional tactile sensor can promote the development of robots and better assist the disabled in restoring their sensory abilities.",ionic thermoelectric gelatin tactile sensor,"thermoelectric response arises from synergy between ion thermodiffusion and thermogalvanic effects; applied pressure changes thermopower, enabling force-temperature decoupling"
Improved Ionic Thermoelectric Performance of Adhesive and Self-Healing Cationic High-Entropy Gel Thermocell,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,10.1002/anie.202511293,2025,"Gel thermocell can directly convert heat into electricity by ions as energy carriers, capable of low-grade heat harvesting. However, ionic thermoelectric performance, including ionic thermopower, output power density, and energy density, needs to be significantly improved to meet practical applications. To date, it still lacks an effective strategy to focus on gels to achieve the overall high performance. Herein, an adhesive and self-healing cationic high-entropy gel (CHEG) G-FeCN4-/3--K+-Na+-Li+-Gdm+-Cs+ in a multi-ion cooperative chemical environment has been designed by the interaction between multications and anions, improving the entropy change of redox reaction, exchange current density, and ionic conductivity, thereby achieving an overall high ionic thermoelectric performance. The CHEG thermocell using the synergy of thermogalvanic and thermodiffusion effects showed a total ionic thermopower of 41 mV K-1 with 2.3 mV K-1 for the former, and delivered a maximum output power density of 14.3 mW m-2 K-2 and an energy density of 4.5 J m-2 K-2. In addition, an ultrahigh maximum output power density of 4.13 mW m-2 K-2 was obtained in the CHEG device that was assembled by connecting four thermocells in series, which could realize electrocatalytic degradation of rhodamine B. This work demonstrates a feasible way to design high-performance ionic thermoelectric gels and provides a new application in water pollution treatments.",adhesive self-healing cationic high-entropy gel G-FeCN4-/3--K+-Na+-Li+-Gdm+-Cs+,"multication-anion interactions in a high-entropy gel improve redox reaction entropy change, exchange current density, and ionic conductivity; thermogalvanic and thermodiffusion effects jointly contribute"
Ionic thermoelectric performance of cement and its modifications,CASE STUDIES IN CONSTRUCTION MATERIALS,10.1016/j.cscm.2024.e04186,2025,"Ionic thermoelectric materials integrated into the concrete members of buildings have potential to generate electric energy utilizing thermal gradients. This paper investigates the effects of nickel foam (NF)-carbon nanotube (CNT) electrodes and the polyvinyl alcohol (PVA) hydrogel on the thermoelectric performance of hardened cement and evaluates the use of PVA as a charge carrier between the CNT electrodes and cement. The porosity of the cement samples was studied using micro-computed tomography. The results indicate that modifying the cement with PVA hydrogel increases capillary porosity while it reduces the Seebeck coefficient, overall strength, and capacitance. The increase of porosity observed to decrease the thermoelectric power. Pure cement samples without any modifications produced significant values up to 28 mV/K for the Seebeck coefficient, which can be explained by the diffusion of water inside the CNT nanochannels and its flow in cement microcracks and capillaries. These values pave the way for energy-efficient housing with increased grid independence.",hardened cement modified with nickel foam-carbon nanotube electrodes and PVA hydrogel,PVA hydrogel changes capillary porosity and charge transport; pure cement thermopower is attributed to water diffusion inside CNT nanochannels and cement microcracks/capillaries
"Biodegradable, ionic thermoelectric composites via self-assembly of dipeptides and deep eutectic solvents",ADVANCED COMPOSITES AND HYBRID MATERIALS,10.1007/s42114-025-01239-8,2025,"The growing demand for biodegradable conductive composites is driven by the need to mitigate electronic waste and advance bioelectronics for healthcare applications. Self-assembled peptide composites, particularly diphenylalanine (FF) derivatives, represent a promising class of materials for such electronics due to their inherent biodegradability and ease of hybridization with functional materials. However, the integration of ionic species with these peptides is often limited by the disruption of non-covalent interactions between FF derivatives. In this study, we developed biodegradable, ionic thermoelectric composites by co-assembling Fmoc-FF with deep eutectic solvents (DESs) composed of choline chloride (ChCl) and ethylene glycol (EG). Spectroscopic analyses revealed that Fmoc-FF formed eutectogels through pi-pi interactions between Fmoc groups, resulting in a highly porous colloidal network. The Fmoc-FF eutectogels exhibited an ionic conductivity of up to 47.5 mS center dot cm-1 and a Seebeck coefficient of 7.39 mV center dot K-1, making them suitable for heat harvesting. Additionally, they were entirely degraded within 48 h under proteolytic conditions, confirming their biodegradability. The eutectogels also displayed self-healing and shear-thinning behaviors, highlighting compatibility with additive manufacturing techniques for device integration.",Fmoc-FF/choline chloride/ethylene glycol deep-eutectic-solvent eutectogel,Fmoc-FF forms porous eutectogels through pi-pi interactions between Fmoc groups; deep eutectic solvent provides ionic conductivity while preserving biodegradable peptide network
