node_id,layer_node_id,analysis_layer,global_concept_id,normalized_label,lexical_category,layer_document_frequency,occurrence_count,first_year,last_year,pair_endpoint_eligible,pair_degree,relation_candidate_incident_count,strict_relation_incident_count,semantic_accepted_relation_incident_count,semantic_rejected_relation_incident_count,semantic_pending_relation_incident_count,production_relation_incident_count,shared_pair_endpoint_focus_eligible,shared_pair_endpoint_release_status,node_fact_status,is_exact_shared_selected_concept,is_exact_shared_pair_endpoint,node_role,alignment_id
LN_b4461800490c,LN_b4461800490c,TG,GC_001c23a253ac,overall efficiency,outcome_or_property,1,1,2010,2010,True,4,0,0,0,0,0,0,False,not_in_shared_pair_inventory,selected_direct_abstract_concept,False,False,layer_pair_endpoint,
LN_1b69721a1e4d,LN_1b69721a1e4d,TG,GC_0050b83326c0,inner sphere reaction,mechanism_or_process,1,1,2023,2023,True,4,0,0,0,0,0,0,False,not_in_shared_pair_inventory,selected_direct_abstract_concept,False,False,layer_pair_endpoint,
LN_86486fc6d03e,LN_86486fc6d03e,TG,GC_009984db3fd0,employing fe2+/3+ redox ion,material_or_structure,1,1,2025,2025,True,4,0,0,0,0,0,0,False,not_in_shared_pair_inventory,selected_direct_abstract_concept,False,False,layer_pair_endpoint,
LN_4cf03ff197dc,LN_4cf03ff197dc,TG,GC_00a449d86e2f,limited redox pair,material_or_structure,1,1,2023,2023,False,0,0,0,0,0,0,0,False,not_in_shared_pair_inventory,selected_direct_abstract_concept,False,False,layer_isolated_selected_concept,
LN_3cc7190ffc69,LN_3cc7190ffc69,TG,GC_00d32a2ab136,dual mechanism,untyped_extractive_keyword,1,1,2026,2026,True,4,0,0,0,0,0,0,False,not_in_shared_pair_inventory,selected_direct_abstract_concept,False,False,layer_pair_endpoint,
LN_f4778d336cf3,LN_f4778d336cf3,TG,GC_00d346cf7914,fe2+,literal_formula,1,1,2025,2025,True,6,0,0,0,0,0,0,False,not_in_shared_pair_inventory,selected_direct_abstract_concept,False,False,layer_pair_endpoint,
LN_54ec3d76c5ad,LN_54ec3d76c5ad,TG,GC_0104c59ddc4e,effective thermal conductivity,outcome_or_property,1,1,2026,2026,True,3,3,0,0,0,3,0,False,not_in_shared_pair_inventory,selected_direct_abstract_concept,False,False,layer_pair_endpoint,
LN_ceeff38f64d5,LN_ceeff38f64d5,TG,GC_010f0f46a3cf,copper deposition rate,outcome_or_property,1,1,1993,1993,True,5,0,0,0,0,0,0,False,not_in_shared_pair_inventory,selected_direct_abstract_concept,False,False,layer_pair_endpoint,
LN_3f08b373008a,LN_3f08b373008a,TG,GC_0125d2b7b2a2,tailor thermoelectric property,outcome_or_property,1,1,2026,2026,True,1,0,0,0,0,0,0,False,not_in_shared_pair_inventory,selected_direct_abstract_concept,False,False,layer_pair_endpoint,
LN_7e4edca60eb9,LN_7e4edca60eb9,TG,GC_012c2d26e9ac,physical mass transport,mechanism_or_process,1,1,2019,2019,True,2,0,0,0,0,0,0,False,not_in_shared_pair_inventory,selected_direct_abstract_concept,False,False,layer_pair_endpoint,
LN_9c79e01165cd,LN_9c79e01165cd,TG,GC_0144f4ef4c60,excessive swelling,mechanism_or_process,1,1,2026,2026,True,2,0,0,0,0,0,0,False,not_in_shared_pair_inventory,selected_direct_abstract_concept,False,False,layer_pair_endpoint,
LN_c2d9e3c61aa7,LN_c2d9e3c61aa7,TG,GC_0168e7a8433f,simulated electrode,material_or_structure,1,1,2023,2023,True,1,0,0,0,0,0,0,False,not_in_shared_pair_inventory,selected_direct_abstract_concept,False,False,layer_pair_endpoint,
LN_8474360f3586,LN_8474360f3586,TG,GC_019eaeb6777e,additional electrolyte concentration gradient,mechanism_or_process,1,1,2025,2025,True,2,0,0,0,0,0,0,False,not_in_shared_pair_inventory,selected_direct_abstract_concept,False,False,layer_pair_endpoint,
LN_f4a9c8f8ab04,LN_f4a9c8f8ab04,TG,GC_01c02fb28b31,polymer electrode,material_or_structure,1,2,2018,2018,True,3,0,0,0,0,0,0,False,not_in_shared_pair_inventory,selected_direct_abstract_concept,False,False,layer_pair_endpoint,
LN_26489d078ce0,LN_26489d078ce0,TG,GC_01e53584da76,temperature coefficient,outcome_or_property,4,5,2022,2025,True,13,0,0,0,0,0,0,False,not_in_shared_pair_inventory,selected_direct_abstract_concept,True,False,exact_shared_isolate_or_one_sided_pair_endpoint,AL_667431749a12
LN_4f2d3cb7a134,LN_4f2d3cb7a134,TG,GC_02010c234a8a,eco friendliness,untyped_extractive_keyword,1,1,2023,2023,True,4,0,0,0,0,0,0,False,not_in_shared_pair_inventory,selected_direct_abstract_concept,False,False,layer_pair_endpoint,
LN_4d3c75c88880,LN_4d3c75c88880,TG,GC_02772d498f8b,heat transfer,mechanism_or_process,6,7,2014,2026,True,10,2,0,0,0,2,0,True,eligible,selected_direct_abstract_concept,True,True,exact_shared_pair_endpoint,AL_976a11e900e5
LN_3bf9e20f3459,LN_3bf9e20f3459,TG,GC_0286f23d367f,cuso4 aqueous electrolyte,material_or_structure,1,1,2014,2014,True,4,0,0,0,0,0,0,False,not_in_shared_pair_inventory,selected_direct_abstract_concept,False,False,layer_pair_endpoint,
LN_217b7c1501dd,LN_217b7c1501dd,TG,GC_028a986f2d99,organic solvent,material_or_structure,5,8,2017,2025,True,12,0,0,0,0,0,0,True,eligible,selected_direct_abstract_concept,True,True,exact_shared_pair_endpoint,AL_986eeddbca3b
