concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,cutoff_year,target_year,source_pair_evidence_papers,source_pair_recent_papers_3y,target_frequency_u,target_frequency_v,target_frequency_min,target_frequency_sum,target_common_neighbors,target_jaccard,next_year_target_cooccurrence,source_pair_evidence_papers_rank,source_pair_recent_papers_3y_rank,target_frequency_min_rank,target_common_neighbors_rank,target_jaccard_rank,transparent_readiness_score,score_definition,observation_status
C23B9BED21A,C78D65254F9,ionic conduction,phase transition,transport_mechanism,phase_or_species_transition,2019,2020,2,1,1,2,1,3,0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",complete_historical
C23B9BED21A,C78D65254F9,ionic conduction,phase transition,transport_mechanism,phase_or_species_transition,2020,2021,3,2,1,3,1,4,0,0.0,0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.7666666666666666,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",complete_historical
C08389FD6C6,C188B56F6F1,moisture-gradient ion transport,ion-selectivity membrane transport,transport_mechanism,transport_mechanism,2020,2021,2,1,2,6,2,8,0,0.0,0,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",complete_historical
C3002C089A5,C8AD5B453CC,ionic thermodiffusion (Soret effect),ion diffusion,transport_mechanism,transport_mechanism,2020,2021,2,1,8,1,1,9,0,0.0,0,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5666666666666667,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",complete_historical
C3002C089A5,C8AD5B453CC,ionic thermodiffusion (Soret effect),ion diffusion,transport_mechanism,transport_mechanism,2021,2022,4,3,8,1,1,9,0,0.0,0,1.0,1.0,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.7000000000000001,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",complete_historical
C08389FD6C6,C188B56F6F1,moisture-gradient ion transport,ion-selectivity membrane transport,transport_mechanism,transport_mechanism,2021,2022,3,2,3,9,3,12,0,0.0,0,0.75,0.5833333333333334,0.8333333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666667,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",complete_historical
C45C8AAD12E,C78D65254F9,charge-transfer resistance engineering,phase transition,electrode_interface,phase_or_species_transition,2021,2022,2,2,6,3,3,9,0,0.0,0,0.3333333333333333,0.5833333333333334,0.8333333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",complete_historical
C78D65254F9,CE4B0E242E7,phase transition,interfacial charge transfer,phase_or_species_transition,electrode_interface,2021,2022,2,2,3,5,3,8,0,0.0,0,0.3333333333333333,0.5833333333333334,0.8333333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",complete_historical
C23B9BED21A,C78D65254F9,ionic conduction,phase transition,transport_mechanism,phase_or_species_transition,2021,2022,3,2,1,3,1,4,0,0.0,0,0.75,0.5833333333333334,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.5666666666666667,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",complete_historical
C08389FD6C6,C8AD5B453CC,moisture-gradient ion transport,ion diffusion,transport_mechanism,transport_mechanism,2021,2022,2,1,3,1,1,4,0,0.0,0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.4,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",complete_historical
