concept_u_id,concept_v_id,source_support_year,target_first_year,hybrid_first_year,concept_u,concept_v,eligible_at_origin,event_type,duration_years,source_support_threshold
C08389FD6C6,C539540C36B,2025,,,moisture-gradient ion transport,nanochannel-confined ion transport,True,right_censored,0,2
C08389FD6C6,C845F498233,2025,,,moisture-gradient ion transport,ion-dipole interaction,True,right_censored,0,2
C08389FD6C6,C96681C9193,2025,,,moisture-gradient ion transport,ion channels,True,right_censored,0,2
C08389FD6C6,CF4A6A0344F,2025,,,moisture-gradient ion transport,ion migration,True,right_censored,0,2
C08389FD6C6,CF69DD93A68,2025,,,moisture-gradient ion transport,selective ion transport,True,right_censored,0,2
C10C4FF4B6C,C188B56F6F1,2025,,,hydrogen bonding,ion-selectivity membrane transport,True,right_censored,0,2
C10C4FF4B6C,C845F498233,2025,,,hydrogen bonding,ion-dipole interaction,True,right_censored,0,2
C10C4FF4B6C,C8AD5B453CC,2025,,,hydrogen bonding,ion diffusion,True,right_censored,0,2
C182567E63B,C188B56F6F1,2025,,,ion concentration-gradient formation,ion-selectivity membrane transport,True,right_censored,0,2
C188B56F6F1,CEA29EF1A99,2025,,,ion-selectivity membrane transport,thermal-gradient heat-transfer control,True,right_censored,0,2
C3002C089A5,C46A965349B,2025,,,ionic thermodiffusion (Soret effect),anion transport,True,right_censored,0,2
C3002C089A5,C5CE88E5AD7,2025,,,ionic thermodiffusion (Soret effect),thermal migration,True,right_censored,0,2
C3002C089A5,C845F498233,2025,,,ionic thermodiffusion (Soret effect),ion-dipole interaction,True,right_censored,0,2
C3002C089A5,C96681C9193,2025,,,ionic thermodiffusion (Soret effect),ion channels,True,right_censored,0,2
C3002C089A5,CC028ABF9C6,2025,,,ionic thermodiffusion (Soret effect),anti-freezing organohydrogel design,True,right_censored,0,2
C3002C089A5,CE10EBC642C,2025,,,ionic thermodiffusion (Soret effect),Manning counterion condensation,True,right_censored,0,2
C3002C089A5,CE4B0E242E7,2025,,,ionic thermodiffusion (Soret effect),interfacial charge transfer,True,right_censored,0,2
C3002C089A5,CF69DD93A68,2025,,,ionic thermodiffusion (Soret effect),selective ion transport,True,right_censored,0,2
