concept_u_id,concept_v_id,source_support_year,target_first_year,hybrid_first_year,concept_u,concept_v,eligible_at_origin,event_type,duration_years,source_support_threshold
C08389FD6C6,C539540C36B,2025,,,moisture-gradient ion transport,nanochannel-confined ion transport,True,right_censored,0,3
C08389FD6C6,C98C1040415,2025,,,moisture-gradient ion transport,cation transport,True,right_censored,0,3
C10C4FF4B6C,C845F498233,2025,,,hydrogen bonding,ion-dipole interaction,True,right_censored,0,3
C10C4FF4B6C,CFBB5A400A1,2025,,,hydrogen bonding,cation-anion thermodiffusion asymmetry,True,right_censored,0,3
C188B56F6F1,CB25BC3FC14,2025,,,ion-selectivity membrane transport,double/interpenetrating network,True,right_censored,0,3
C188B56F6F1,CF4A6A0344F,2025,,,ion-selectivity membrane transport,ion migration,True,right_censored,0,3
C188B56F6F1,CF69DD93A68,2025,,,ion-selectivity membrane transport,selective ion transport,True,right_censored,0,3
C3002C089A5,CC028ABF9C6,2025,,,ionic thermodiffusion (Soret effect),anti-freezing organohydrogel design,True,right_censored,0,3
C3002C089A5,CF69DD93A68,2025,,,ionic thermodiffusion (Soret effect),selective ion transport,True,right_censored,0,3
C41DA9D5B12,C45C8AAD12E,2025,,,convection-resolved resistance decomposition,charge-transfer resistance engineering,True,right_censored,0,3
C41DA9D5B12,CE4B0E242E7,2025,,,convection-resolved resistance decomposition,interfacial charge transfer,True,right_censored,0,3
C46747A02A1,C8AD5B453CC,2025,,,ion-pairing and complexation,ion diffusion,True,right_censored,0,3
C46747A02A1,CE6FC512ED2,2025,,,ion-pairing and complexation,dynamic crosslinked gel network,True,right_censored,0,3
C539540C36B,CF4A6A0344F,2025,,,nanochannel-confined ion transport,ion migration,True,right_censored,0,3
C78D65254F9,C9516FFBFC5,2025,,,phase transition,volume phase transition,True,right_censored,0,3
CBFAB31D6E6,CC028ABF9C6,2025,,,electrostatic interaction,anti-freezing organohydrogel design,True,right_censored,0,3
C188B56F6F1,C96681C9193,2024,,,ion-selectivity membrane transport,ion channels,True,right_censored,1,3
C188B56F6F1,CE6FC512ED2,2024,,,ion-selectivity membrane transport,dynamic crosslinked gel network,True,right_censored,1,3
C45C8AAD12E,C78D65254F9,2024,,,charge-transfer resistance engineering,phase transition,True,right_censored,1,3
C78D65254F9,CE4B0E242E7,2024,,,phase transition,interfacial charge transfer,True,right_censored,1,3
C78D65254F9,CF4A6A0344F,2024,,,phase transition,ion migration,True,right_censored,1,3
C8AD5B453CC,CE6FC512ED2,2024,,,ion diffusion,dynamic crosslinked gel network,True,right_censored,1,3
C08389FD6C6,C188B56F6F1,2021,2023.0,,moisture-gradient ion transport,ion-selectivity membrane transport,True,exclusive_TG_cooccurrence,2,3
C3002C089A5,CF4A6A0344F,2023,2025.0,,ionic thermodiffusion (Soret effect),ion migration,True,exclusive_TG_cooccurrence,2,3
C10C4FF4B6C,C46747A02A1,2023,,,hydrogen bonding,ion-pairing and complexation,True,right_censored,2,3
C188B56F6F1,CC028ABF9C6,2023,,,ion-selectivity membrane transport,anti-freezing organohydrogel design,True,right_censored,2,3
C23B9BED21A,CF4A6A0344F,2023,,,ionic conduction,ion migration,True,right_censored,2,3
C3002C089A5,C539540C36B,2023,,,ionic thermodiffusion (Soret effect),nanochannel-confined ion transport,True,right_censored,2,3
C46747A02A1,C7932B1CE8C,2023,,,ion-pairing and complexation,chaotropic polymer-water disruption,True,right_censored,2,3
C7932B1CE8C,CE6FC512ED2,2023,,,chaotropic polymer-water disruption,dynamic crosslinked gel network,True,right_censored,2,3
CC028ABF9C6,CE6FC512ED2,2022,,2025.0,anti-freezing organohydrogel design,dynamic crosslinked gel network,True,hybrid_bridge_cooccurrence,3,3
C3002C089A5,CC3BA67827F,2022,,,ionic thermodiffusion (Soret effect),ionic-electronic coupling,True,right_censored,3,3
CC3BA67827F,CF4A6A0344F,2022,,,ionic-electronic coupling,ion migration,True,right_censored,3,3
C188B56F6F1,C539540C36B,2021,,,ion-selectivity membrane transport,nanochannel-confined ion transport,True,right_censored,4,3
C23B9BED21A,C78D65254F9,2020,,,ionic conduction,phase transition,True,right_censored,5,3
C08389FD6C6,CC3BA67827F,2019,,,moisture-gradient ion transport,ionic-electronic coupling,True,right_censored,6,3
