concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,tg_history_frequency_u,tg_history_frequency_v,tg_history_frequency_sum,tg_both_concepts_seen,cutoff_year,future_window,label,pair_probability,node_adoption_compatibility,two_stage_score,future_rank,annual_graph_score,graph_rank_2027
C08389FD6C6,CF4A6A0344F,moisture-gradient ion transport,ion migration,transport_mechanism,transport_mechanism,0.7488869428634644,30,30,30,30,82,48,48,82,0.5853658536585366,42,26,68,5.666666666666667,4.666666666666667,24,33,22,0.5789473684210527,7.730566564003308,900,1,1,1,0,0,1,15,5,20,1,2026,2027-2027,0,0.8016414771100447,1.0,0.6683467741935484,11,0.9150403225806452,1
C10C4FF4B6C,C46747A02A1,hydrogen bonding,ion-pairing and complexation,solvation_entropy,solvation_entropy,0.6333999633789062,31,36,31,36,45,54,45,54,0.8333333333333334,31,32,63,7.333333333333333,6.333333333333333,22,15,26,0.6341463414634146,9.043629930885729,1116,1,1,1,0,0,1,15,17,32,1,2026,2027-2027,0,0.8353834450652253,1.0,0.6719758064516129,5,0.9066129032258066,2
C188B56F6F1,CF4A6A0344F,ion-selectivity membrane transport,ion migration,transport_mechanism,transport_mechanism,0.7640577554702759,26,30,26,30,58,48,48,58,0.8275862068965517,30,26,56,5.333333333333333,4.666666666666667,27,33,20,0.5555555555555556,6.795880034422101,780,1,1,1,0,0,1,18,5,23,1,2026,2027-2027,0,0.8183038641811536,1.0,0.6701612903225806,8,0.8991129032258064,3
C08389FD6C6,C539540C36B,moisture-gradient ion transport,nanochannel-confined ion transport,transport_mechanism,transport_mechanism,0.6501357555389404,30,23,23,30,82,26,26,82,0.3170731707317073,42,16,58,5.666666666666667,2.6666666666666665,24,8,20,0.6060606060606061,6.785051721612702,690,1,1,1,0,0,1,15,3,18,1,2026,2027-2027,0,0.8518899094954163,1.0,0.6731854838709678,3,0.8789112903225806,4
C46747A02A1,C845F498233,ion-pairing and complexation,ion-dipole interaction,solvation_entropy,solvation_entropy,0.7289670705795288,36,21,21,36,54,14,14,54,0.2592592592592592,32,9,41,6.333333333333333,1.6666666666666667,15,7,19,0.5,6.238430122028388,756,1,1,1,0,0,1,17,2,19,1,2026,2027-2027,0,0.6869758311186381,1.0,0.6610887096774194,22,0.862701612903226,5
C8AD5B453CC,CF4A6A0344F,ion diffusion,ion migration,transport_mechanism,transport_mechanism,0.8940117359161377,23,30,23,30,45,48,45,48,0.9375,22,26,48,3.0,4.666666666666667,27,33,17,0.4722222222222222,5.567449146696426,690,1,1,1,0,0,1,7,5,12,1,2026,2027-2027,0,0.634854819815998,1.0,0.65625,29,0.8606048387096774,6
C539540C36B,CF4A6A0344F,nanochannel-confined ion transport,ion migration,transport_mechanism,transport_mechanism,0.7316980957984924,23,30,23,30,26,48,26,48,0.5416666666666666,16,26,42,2.6666666666666665,4.666666666666667,8,33,18,0.5142857142857142,6.207387960625316,690,1,1,1,0,0,1,3,5,8,1,2026,2027-2027,0,0.8066528780161752,1.0,0.6695564516129032,9,0.8582258064516131,7
C10C4FF4B6C,C845F498233,hydrogen bonding,ion-dipole interaction,solvation_entropy,solvation_entropy,0.8224291801452637,31,21,21,31,45,14,14,45,0.3111111111111111,31,9,40,7.333333333333333,1.6666666666666667,22,7,18,0.5294117647058824,5.865604998861809,651,1,1,1,0,0,1,15,2,17,1,2026,2027-2027,0,0.6231903661339554,1.0,0.6550403225806452,31,0.8558870967741936,8
C7932B1CE8C,CE6FC512ED2,chaotropic polymer-water disruption,dynamic crosslinked gel network,gel_microstructure,gel_microstructure,0.4072316586971283,30,29,29,30,34,41,34,41,0.8292682926829268,24,28,52,5.333333333333333,5.666666666666667,8,7,20,0.5128205128205128,6.482956883754077,870,1,1,1,0,0,1,13,11,24,1,2026,2027-2027,0,0.8470665767167509,1.0,0.6725806451612903,4,0.8526612903225808,9
C10C4FF4B6C,CFBB5A400A1,hydrogen bonding,cation-anion thermodiffusion asymmetry,solvation_entropy,transport_mechanism,0.2842476069927215,31,33,31,33,45,43,43,45,0.9555555555555556,31,30,61,7.333333333333333,6.333333333333333,22,10,21,0.4883720930232558,6.595922645711656,1023,1,1,0,0,0,1,15,16,31,1,2026,2027-2027,0,0.8339280152258316,1.0,0.6713709677419355,6,0.8437903225806452,10
C46747A02A1,C7932B1CE8C,ion-pairing and complexation,chaotropic polymer-water disruption,solvation_entropy,gel_microstructure,0.16407011449337,36,30,30,36,54,34,34,54,0.6296296296296297,32,24,56,6.333333333333333,5.333333333333333,15,8,25,0.6097560975609756,8.69484624704929,1080,1,1,0,0,0,1,17,13,30,1,2026,2027-2027,0,0.821900088481103,1.0,0.6707661290322581,7,0.8252016129032258,11
